Frame,UnityTime,StopwatchTime,TrialID,Event,Code
2333,41.9655,41.456885,,StartEndBlock,8
2333,41.9663,41.457613,1,TrialOn,1
2397,43.0281,42.519466,1,SampleOn,2
2426,43.5112,43.002543,1,SampleOff,3
2461,44.0944,43.585726,1,DistractorOn,4
2490,44.5778,44.069173,1,DistractorOff,5
2615,46.6616,46.152985,1,TargetOn,6
2621,46.7617,46.253059,1,Choice,7
2715,48.3288,47.820189,2,TrialOn,1
2780,49.4132,48.904588,2,SampleOn,2
2809,49.8949,49.386247,2,SampleOff,3
2844,50.4782,49.969558,2,DistractorOn,4
2874,50.9785,50.469829,2,DistractorOff,5
2999,53.0619,52.553279,2,TargetOn,6
3005,53.1619,52.653211,2,Choice,7
3099,54.7285,54.219828,3,TrialOn,1
3163,55.7955,55.286838,3,SampleOn,2
3192,56.2788,55.770115,3,SampleOff,3
3227,56.8623,56.353613,3,DistractorOn,4
3256,57.3459,56.837284,3,DistractorOff,5
3381,59.4289,58.920271,3,TargetOn,6
3386,59.5124,59.003701,3,Choice,7
3480,61.0791,60.570396,4,TrialOn,1
3545,62.1628,61.65416,4,SampleOn,2
3575,62.6633,62.154619,4,SampleOff,3
3610,63.2476,62.738949,4,DistractorOn,4
3639,63.7294,63.220764,4,DistractorOff,5
3764,65.8131,65.304447,4,TargetOn,6
3769,65.8963,65.387676,4,Choice,7
3863,67.4631,66.954492,5,TrialOn,1
3928,68.5469,68.038198,5,SampleOn,2
3957,69.03,68.521353,5,SampleOff,3
3992,69.6135,69.104833,5,DistractorOn,4
4022,70.1136,69.604922,5,DistractorOff,5
4147,72.1973,71.68861,5,TargetOn,6
4152,72.2805,71.771838,5,Choice,7
4246,73.847,73.338314,6,TrialOn,1
4310,74.9141,74.405457,6,SampleOn,2
4339,75.3973,74.888687,6,SampleOff,3
4374,75.9811,75.472392,6,DistractorOn,4
4403,76.4644,75.955767,6,DistractorOff,5
4528,78.5479,78.039233,6,TargetOn,6
4534,78.6478,78.139121,6,Choice,7
4628,80.2143,79.705641,7,TrialOn,1
4692,81.2813,80.772691,7,SampleOn,2
4722,81.7815,81.272857,7,SampleOff,3
4757,82.365,81.856386,7,DistractorOn,4
4786,82.848,82.339341,7,DistractorOff,5
4912,84.9485,84.439826,7,TargetOn,6
4918,85.0484,84.539758,7,Choice,7
5012,86.6148,86.10616,8,TrialOn,1
5076,87.6821,87.173411,8,SampleOn,2
5106,88.182,87.673371,8,SampleOff,3
5141,88.7661,88.257462,8,DistractorOn,4
5171,89.2655,88.756808,8,DistractorOff,5
5296,91.3491,90.840451,8,TargetOn,6
5302,91.449,90.940333,8,Choice,7
5396,93.0156,92.50691,9,TrialOn,1
5460,94.0827,93.574011,9,SampleOn,2
5489,94.566,94.057312,9,SampleOff,3
5524,95.1496,94.640916,9,DistractorOn,4
